an vs ang​​,"饭 (fàn, 米饭)","放 (fàng, 放学)",,,,,,,,,,,,,,,,,
,"碗 (wǎn, 饭碗)","网 (wǎng, 上网)",,,,,,,,,,,,,,,,,
,"玩 (wán, 玩耍)","王 (wáng, 国王)",,,,,,,,,,,,,,,,,
,"蓝 (lán, 蓝天)","狼 (láng, 大灰狼)",,,,,,,,,,,,,,,,,
,"看 (kàn, 看见)","炕 (kàng, 火炕)",,,,,,,,,,,,,,,,,
,"山 (shān, 高山)","伤 (shāng, 受伤)",,,,,,,,,,,,,,,,,
,"扇 (shàn, 风扇)","上 (shàng, 上面)",,,,,,,,,,,,,,,,,
,"班 (bān, 班长)","帮 (bāng, 帮助)",,,,,,,,,,,,,,,,,
,"反 (fǎn, 正反)","房 (fáng, 房子)",,,,,,,,,,,,,,,,,
,"蛋 (dàn, 鸡蛋)","糖 (táng, 糖果)",,,,,,,,,,,,,,,,,
,"盘 (pán, 盘子)","旁 (páng, 旁边)",,,,,,,,,,,,,,,,,
,"男 (nán, 男孩)","囊 (náng, 口袋)",,,,,,,,,,,,,,,,,
,"懒 (lǎn, 偷懒)","狼 (láng, 大灰狼)",,,,,,,,,,,,,,,,,
,"干 (gān, 干净)","刚 (gāng, 刚才)",,,,,,,,,,,,,,,,,
,"看 (kàn, 看见)","康 (kāng, 健康)",,,,,,,,,,,,,,,,,
,"寒 (hán, 寒冷)","航 (háng, 航行)",,,,,,,,,,,,,,,,,
,"站 (zhàn, 车站)","张 (zhāng, 张开)",,,,,,,,,,,,,,,,,
,"产 (chǎn, 产品)","长 (cháng, 长短)",,,,,,,,,,,,,,,,,
,"山 (shān, 大山)","伤 (shāng, 受伤)",,,,,,,,,,,,,,,,,
,"然 (rán, 然后)","让 (ràng, 让开)",,,,,,,,,,,,,,,,,
,"伞 (sǎn, 雨伞)","桑 (sāng, 桑树)",,,,,,,,,,,,,,,,,
,"但 (dàn, 但是)","当 (dāng, 当时)",,,,,,,,,,,,,,,,,
,"谈 (tán, 谈话)","唐 (táng, 唐朝)",,,,,,,,,,,,,,,,,
,"南 (nán, 南方)","囊 (náng, 行囊)",,,,,,,,,,,,,,,,,
,"兰 (lán, 兰花)","狼 (láng, 灰狼)",,,,,,,,,,,,,,,,,
,"甘 (gān, 甘甜)","刚 (gāng, 刚刚)",,,,,,,,,,,,,,,,,
,"砍 (kǎn, 砍树)","康 (kāng, 健康)",,,,,,,,,,,,,,,,,
,"汉 (hàn, 汉字)","行 (háng, 行业)",,,,,,,,,,,,,,,,,
,"战 (zhàn, 战争)","丈 (zhàng, 丈夫)",,,,,,,,,,,,,,,,,
,"蝉 (chán, 蝉鸣)","常 (cháng, 经常)",,,,,,,,,,,,,,,,,
​​en vs eng​​,"门 (mén, 房门)","梦 (mèng, 做梦)",,,,,,,,,,,,,,,,,
,"分 (fēn, 分开)","风 (fēng, 大风)",,,,,,,,,,,,,,,,,
,"真 (zhēn, 真实)","争 (zhēng, 争抢)",,,,,,,,,,,,,,,,,
